Site,Region,Subregion,Address,Latitude,Longitude,Altitude,Commissioned,Status,PM10,PM2.5,TSP,NO/NO2/NOx,SO2,O3,NEPH,CO,NH3,WSP/WD/SD1,TEMP/RH,SOLAR,PRECIPITATION
 Bulga,Upper Hunter,,1893 Putty Rd,-32.64888888888889,-151.03555555555556,67.0,2011,Active,ü,,,,,,,,,ü,ü,,ü
 Camberwell,Upper Hunter,,Dulwich Place and McInerneys Rd,-32.47222222222222,-151.09194444444447,82.0,2011,Active,ü,ü,,,,,,,,ü,ü,,ü
 Maison Dieu,Upper Hunter,,Maison Dieu Rd,-32.52472222222222,-151.06194444444446,65.0,2011,Active,ü,,,,,,,,,ü,ü,,
 Mt Thorley,Upper Hunter,,154 Broke Rd,-32.63583333333333,-151.12805555555556,74.0,2011,Active,ü,,,,,,,,,ü,ü,,
Aberdeen ,Upper Hunter,,"Abercairney Terrace, Aberdeen ",-32.17638888888889,-150.88472222222222,177.0,2011,Active,ü,,,,,,,,,ü,ü,,
Jerrys Plains,Upper Hunter,,"Coolmore Stud, Jerrys Plains Rd",-32.47694444444445,-150.88,87.0,2011,Active,ü,,,,,,,,,ü,ü,,
Merriwa,Upper Hunter,," Lot 3, Merriwa Scone Rd",-32.11833333333333,-150.44055555555556,406.0,2012,Active,ü,,,,,,,,,ü,ü,,
Muswellbrook,Upper Hunter,,Bowman Park,-32.27166666666667,-150.88583333333332,145.0,2010,Active,ü,ü,,ü,ü,,,,,ü,ü,,ü
Muswellbrook NW ,Upper Hunter,,Cnr Wybong Rd and Kayuga Rd,-32.25333333333333,-150.8813888888889,143.0,2011,Active,ü,,,,,,,,,ü,ü,,
Singleton,Upper Hunter,,Civic Avenue,-32.5575,-151.17694444444444,42.0,2010,Active,ü,ü,,ü,ü,,,,,ü,ü,,ü
Singleton NW,Upper Hunter,,Near Rixs Creek coal mine,-32.52972222222222,-151.1497222222222,123.0,2011 ,Active,ü,,,,,,,,,ü,ü,,
Singleton South,Upper Hunter,,"Haggarty's Lane, Whittingham",-32.58694444444445,-151.20888888888888,39.0,2011 ,Active,ü,,,,,,,,,ü,ü,,
Warkworth,Upper Hunter,,"Warkworth, nr St Phillips Church",-32.573888888888895,-151.02722222222224,60.0,2011 ,Active,ü,,,,,,,,,ü,ü,,
Wybong,Upper Hunter,,"St Marks Church, Ridgelands Rd ",-32.19499999999999,-150.67361111111111,190.0,2011 ,Active,ü,,,,,,,,,ü,ü,,
Beresfield,Lower Hunter & Central Coast,Lower Hunter,Francis Greenway High School,-32.79833333333333,-151.66,14.0,1993,Active,ü,ü,,ü,ü,ü,ü,,,ü,ü,,
Carrington,Lower Hunter & Central Coast,Newcastle Local,Hargrave St & Garrett St,-32.90972222222222,-151.76333333333332,5.0,2014,Active,ü,ü,,ü,ü,,,,,ü,ü,,
Mayfield,Lower Hunter & Central Coast,Newcastle Local,Murray Dwyer Circuit,-32.885,-151.72833333333332,5.0,2014,Active,ü,ü,,ü,ü,,,,,ü,ü,ü,
Newcastle,Lower Hunter & Central Coast,Lower Hunter,Athletics Field,-32.9325,-151.75833333333333,5.0,1992,Active,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,ü,
Stockton,Lower Hunter & Central Coast,Newcastle Local,Fullerton St park,-32.901944444444446,-151.78416666666666,5.0,2014,Active,ü,ü,,ü,ü,,,,ü,ü,ü,,
Wallsend,Lower Hunter & Central Coast,Lower Hunter,Swimming Pool,-32.89611111111111,-151.66916666666665,8.0,1992,Active,ü,ü,,ü,ü,ü,ü,,,ü,ü,ü,
Wyong,Lower Hunter & Central Coast,Central Coast,Wyong racecourse                              ,-33.278888888888886,-151.4325,3.0,2012,Active,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,,
Albion Park,Illawarra,,Croom Rd,-34.580555555555556,-150.7888888888889,5.0,,Decommissioned,ü,,,ü,,ü,ü,,,,,,
Albion Park South,Illawarra,,Terry Reserve,-34.580555555555556,-150.78166666666667,13.0,2005,Active,ü,ü,,ü,ü,ü,ü,,,ü,ü,,
Kembla Grange,Illawarra,,Kembla Grange Racecourse,-34.47638888888889,-150.8175,5.0,1994,Active,ü,ü,,ü,,ü,ü,,,ü,ü,ü,
Warrawong,Illawarra,,Carlotta Cres,-34.49166666666667,-150.89138888888888,9.0,,Decommissioned,ü,ü,,ü,ü,ü,ü,,,,,,
Wollongong,Illawarra,,Gipps St,-34.41861111111111,-150.8863888888889,15.0,2012,Active,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,,ü
Albury,Rural and regional NSW,South west slopes,Jelbert Park,-36.05166666666666,-146.97416666666666,182.0,2000,Active,ü,ü,,,,,,,,ü,ü,,
Bathurst,Rural and regional NSW,Central Tablelands,Sewage Treatment Plant,-33.40333333333333,-149.57333333333332,625.0,2000,Active,ü,ü,,,,,,,,ü,ü,,
Tamworth,Rural and regional NSW,North west slopes,Hyman Park,-31.110555555555557,-150.91416666666666,405.0,2000,Active,ü,ü,,,,,,,,ü,ü,,
Wagga Wagga,Rural and regional NSW,South west slopes,Morgan & Murray Sts,-35.117222222222225,-147.3763888888889,181.0,2000,Decommissioned,ü,,,,,,,,,,,,
Wagga Wagga North,Rural and regional NSW,South west slopes,Wagga Wagga racecourse,-35.10444444444445,-147.36027777777778,181.0,2011,Active,ü,ü,,,,,,,,,,,
